"Order","Family","Genus","species","binom","haploid.num","chromosome"
"Blattodea","Blaberidae","Archimandrita","tessellata","Archimandrita tessellata",23,"mono"
"Blattodea","Blaberidae","Blaberus","discoidalis","Blaberus discoidalis",19,"mono"
"Blattodea","Blaberidae","Blaberus","parabolicus","Blaberus parabolicus",20,"mono"
"Blattodea","Blaberidae","Blaberus","atropos","Blaberus atropos",37,"mono"
"Blattodea","Blaberidae","Blaberus","cranifer","Blaberus cranifer",37,"mono"
"Blattodea","Blaberidae","Blaberus","giganteus","Blaberus giganteus",37,"mono"
"Blattodea","Blaberidae","Byrsotria","fumigata","Byrsotria fumigata",24,"mono"
"Blattodea","Blaberidae","Diploptera","punctata","Diploptera punctata",24,"mono"
"Blattodea","Blaberidae","Epilampra","maya","Epilampra maya",18,"mono"
"Blattodea","Blaberidae","Epilampra","maculicollis","Epilampra maculicollis",19,"mono"
"Blattodea","Blaberidae","Epilampra","sp.81B","Epilampra sp.81B",20,"mono"
"Blattodea","Blaberidae","Epilampra","abdomennigrum","Epilampra abdomennigrum",21,"mono"
"Blattodea","Blaberidae","Epilampra","sagitta","Epilampra sagitta",22,"mono"
"Blattodea","Blaberidae","Epilampra","grisea","Epilampra grisea",25,"mono"
"Blattodea","Blaberidae","Eublaberus","posticus","Eublaberus posticus",22,"mono"
"Blattodea","Blaberidae","Eublaberus","distanti","Eublaberus distanti",33,"mono"
"Blattodea","Blaberidae","Gromphadorhina","brunneri","Gromphadorhina brunneri",32,"mono"
"Blattodea","Blaberidae","Gromphadorhina","portentosa","Gromphadorhina portentosa",32,"mono"
"Blattodea","Blaberidae","Gromphadorhina","chopardi","Gromphadorhina chopardi",38,"mono"
"Blattodea","Blaberidae","Nauphoeta","cinerea","Nauphoeta cinerea",19,"mono"
"Blattodea","Blaberidae","Panchlora","sp.","Panchlora sp.",16,"mono"
"Blattodea","Blaberidae","Panchlora","nivea","Panchlora nivea",18,"mono"
"Blattodea","Blaberidae","Panchlora","viridis","Panchlora viridis",19,"mono"
"Blattodea","Blaberidae","Panesthia","sp.","Panesthia sp.",19,"mono"
"Blattodea","Blaberidae","Panesthia","stellata","Panesthia stellata",19,"mono"
"Blattodea","Blaberidae","Pycnoscelus","indicus","Pycnoscelus indicus",18,"mono"
"Blattodea","Blaberidae","Pycnoscelus","surinamensis","Pycnoscelus surinamensis",18,"mono"
"Blattodea","Blaberidae","Pycnoscelus","surinamensis","Pycnoscelus surinamensis",27,"mono"
"Blattodea","Blaberidae","Rhabdoblatta","sp.39T","Rhabdoblatta sp.39T",16,"mono"
"Blattodea","Blaberidae","Rhabdoblatta","annandalei","Rhabdoblatta annandalei",25,"mono"
"Blattodea","Blattellidae","Blattella","bisignata","Blattella bisignata",12,"mono"
"Blattodea","Blattellidae","Blattella","germanica","Blattella germanica",12,"mono"
"Blattodea","Blattellidae","Blattella","sauteri","Blattella sauteri",12,"mono"
"Blattodea","Blattellidae","Blattella","vaga","Blattella vaga",12,"mono"
"Blattodea","Blattellidae","Blattella","lituricollis lituricollis","Blattella lituricollis lituricollis",13,"mono"
"Blattodea","Blattellidae","Blattella","sp.C43T","Blattella sp.C43T",14,"mono"
"Blattodea","Blattellidae","Blattella","sp.D","Blattella sp.D",15,"mono"
"Blattodea","Blattellidae","Blattella","sp.E71A","Blattella sp.E71A",25,"mono"
"Blattodea","Blattellidae","Ectobius","pallidus","Ectobius pallidus",11,"mono"
"Blattodea","Blattellidae","Ischnoptera","castanea","Ischnoptera castanea",17,"mono"
"Blattodea","Blattellidae","Ischnoptera","mura","Ischnoptera mura",17,"mono"
