"Order","Family","Genus","species","binom","haploid.num","chromosome"
"Blattodea","Blattellidae","Ischnoptera","sp.93B","Ischnoptera sp.93B",19,"mono"
"Blattodea","Blattellidae","Ischnoptera","panamae","Ischnoptera panamae",20,"mono"
"Blattodea","Blattellidae","Ischnoptera","rufa rufa","Ischnoptera rufa rufa",20,"mono"
"Blattodea","Blattellidae","Ischnoptera","galibi","Ischnoptera galibi",22,"mono"
"Blattodea","Blattellidae","Ischnoptera","deropeltiformis","Ischnoptera deropeltiformis",25,"mono"
"Blattodea","Blattellidae","Loboptera","decipiens","Loboptera decipiens",17,"mono"
"Blattodea","Blattellidae","Supella","longipalpa","Supella longipalpa",10,"mono"
"Blattodea","Blattellidae","Xestoblatta","immaculata","Xestoblatta immaculata",19,"mono"
"Blattodea","Blattidae","Blatta","orientalis","Blatta orientalis",24,"mono"
"Blattodea","Blattidae","Cryptocercus","punctulatus","Cryptocercus punctulatus",20,"mono"
"Blattodea","Blattidae","Deropeltis","erythrocephala","Deropeltis erythrocephala",25,"mono"
"Blattodea","Blattidae","Duchailluia","n.sp.","Duchailluia n.sp.",21,"mono"
"Blattodea","Blattidae","Lamproblatta","albipalpus","Lamproblatta albipalpus",9,"mono"
"Blattodea","Blattidae","Periplaneta","australasiae","Periplaneta australasiae",14,"mono"
"Blattodea","Blattidae","Periplaneta","brunnea","Periplaneta brunnea",14,"mono"
"Blattodea","Blattidae","Periplaneta","fuliginosa","Periplaneta fuliginosa",14,"mono"
"Blattodea","Blattidae","Periplaneta","americana","Periplaneta americana",17,"mono"
"Blattodea","Blattidae","Periplaneta","japonica","Periplaneta japonica",17,"mono"
"Blattodea","Polyphagidae","Arenivaga","investigata","Arenivaga investigata",23,"mono"
"Blattodea","Polyphagidae","Cryptocercus","relictus","Cryptocercus relictus",9,"mono"
"Blattodea","Polyphagidae","Cryptocercus","primarius","Cryptocercus primarius",10,"mono"
"Blattodea","Polyphagidae","Cryptocercus","punctulatus","Cryptocercus punctulatus",19,"mono"
"Blattodea","Polyphagidae","Cryptocercus","punctulatus","Cryptocercus punctulatus",24,"mono"
"Blattodea","Polyphagidae","Latindia","sp.3","Latindia sp.3",11,"mono"
"Blattodea","Polyphagidae","Polyphaga","aegyptiaca","Polyphaga aegyptiaca",32,"mono"
"Coleoptera","Anobiidae","Gibbium","psylloides ","Gibbium psylloides ",9,"mono"
"Coleoptera","Anobiidae","Lasioderma","serricorne ","Lasioderma serricorne ",9,"mono"
"Coleoptera","Anobiidae","Ptinus","clavipes ","Ptinus clavipes ",9,"mono"
"Coleoptera","Anobiidae","Ptinus","hirtellus ","Ptinus hirtellus ",9,"mono"
"Coleoptera","Anobiidae","Ptinus","villiger ","Ptinus villiger ",9,"mono"
"Coleoptera","Anobiidae","Stegobium","paniceum ","Stegobium paniceum ",9,"mono"
"Coleoptera","Anthribidae","Araecerus","fasciculatus ","Araecerus fasciculatus ",11,"mono"
"Coleoptera","Attelabidae","Apoderus","balteatus","Apoderus balteatus",11,"mono"
"Coleoptera","Attelabidae","Apoderus","balteatus","Apoderus balteatus",13,"mono"
"Coleoptera","Attelabidae","Apoderus","erythrogaster rufiventris    ","Apoderus erythrogaster rufiventris    ",13,"mono"
"Coleoptera","Attelabidae","Apoderus","coryli ","Apoderus coryli ",14,"mono"
"Coleoptera","Attelabidae","Apoderus","erythrogaster nigriventris    ","Apoderus erythrogaster nigriventris    ",14,"mono"
"Coleoptera","Attelabidae","Apoderus","jekeli","Apoderus jekeli",18,"mono"
"Coleoptera","Attelabidae","Apoderus","jekeli","Apoderus jekeli",19,"mono"
"Coleoptera","Attelabidae","Auletobius","irkutensis japonicus    ","Auletobius irkutensis japonicus    ",16,"mono"
"Coleoptera","Attelabidae","Auletobius","puberulus","Auletobius puberulus",16,"mono"
"Coleoptera","Attelabidae","Byctiscus","launipennis ","Byctiscus launipennis ",11,"mono"
"Coleoptera","Attelabidae","Deporaus","harmanni","Deporaus harmanni",11,"mono"
"Coleoptera","Attelabidae","Deporaus","marginatus ","Deporaus marginatus ",11,"mono"
"Coleoptera","Attelabidae","Deporaus","sp. 1    ","Deporaus sp. 1    ",11,"mono"
"Coleoptera","Attelabidae","Deporaus","sp. 2    ","Deporaus sp. 2    ",11,"mono"
"Coleoptera","Attelabidae","Deporaus","affectatus","Deporaus affectatus",12,"mono"
"Coleoptera","Attelabidae","Deporaus","unicolor","Deporaus unicolor",12,"mono"
"Coleoptera","Attelabidae","Deporaus","minimus","Deporaus minimus",13,"mono"
"Coleoptera","Attelabidae","Deporaus","unicolor","Deporaus unicolor",17,"mono"
"Coleoptera","Attelabidae","Larinus","sturnus ","Larinus sturnus ",19,"mono"
"Coleoptera","Attelabidae","Pissodes","notatus ","Pissodes notatus ",11,"mono"
"Coleoptera","Brentidae","Apion","abruptum","Apion abruptum",11,"mono"
"Coleoptera","Brentidae","Apion","collare","Apion collare",11,"mono"
"Coleoptera","Brentidae","Apion","sp. 1    ","Apion sp. 1    ",11,"mono"
"Coleoptera","Brentidae","Apion","sp. 2    ","Apion sp. 2    ",11,"mono"
"Coleoptera","Brentidae","Cylas","formicarius","Cylas formicarius",11,"mono"
"Coleoptera","Brentidae","Cylas","formicarius elegantulus    ","Cylas formicarius elegantulus    ",11,"mono"
"Coleoptera","Buprestidae","Agrilus","araxenus ","Agrilus araxenus ",10,"mono"
"Coleoptera","Buprestidae","Agrilus","liragus ","Agrilus liragus ",10,"mono"
"Coleoptera","Buprestidae","Agrilus","obscuricollis ","Agrilus obscuricollis ",10,"mono"
"Coleoptera","Buprestidae","Agrilus","politus pseudocoryli ","Agrilus politus pseudocoryli ",10,"mono"
"Coleoptera","Buprestidae","Agrilus","sp. ","Agrilus sp. ",10,"mono"
"Coleoptera","Buprestidae","Agrilus","angustulus ","Agrilus angustulus ",11,"mono"
"Coleoptera","Buprestidae","Agrilus","anxius ","Agrilus anxius ",11,"mono"
"Coleoptera","Carabidae","Abax","ater","Abax ater",18,"mono"
"Coleoptera","Carabidae","Abax","ovalis","Abax ovalis",18,"mono"
"Coleoptera","Carabidae","Abax","parallelepipedus","Abax parallelepipedus",18,"mono"
"Coleoptera","Carabidae","Abax","parallelus","Abax parallelus",18,"mono"
"Coleoptera","Carabidae","Agonum","ericeti","Agonum ericeti",17,"mono"
"Coleoptera","Carabidae","Agonum","moestum","Agonum moestum",17,"mono"
"Coleoptera","Carabidae","Agonum","moestum longipenne    ","Agonum moestum longipenne    ",17,"mono"
"Coleoptera","Carabidae","Agonum","nigrum","Agonum nigrum",17,"mono"
"Coleoptera","Carabidae","Agonum","bogemanni","Agonum bogemanni",18,"mono"
"Coleoptera","Carabidae","Agonum","cupripenne","Agonum cupripenne",18,"mono"
"Coleoptera","Carabidae","Agonum","munsteri","Agonum munsteri",18,"mono"
"Coleoptera","Carabidae","Agonum","thoreyi","Agonum thoreyi",18,"mono"
"Coleoptera","Carabidae","Agonum","thoreyi melanocephalus    ","Agonum thoreyi melanocephalus    ",18,"mono"
"Coleoptera","Carabidae","Agonum","errans","Agonum errans",19,"mono"
"Coleoptera","Carabidae","Agonum","extensicolle","Agonum extensicolle",19,"mono"
"Coleoptera","Carabidae","Agonum","fuliginosum","Agonum fuliginosum",19,"mono"
"Coleoptera","Carabidae","Agonum","marginatum","Agonum marginatum",19,"mono"
"Coleoptera","Carabidae","Agonum","muelleri","Agonum muelleri",19,"mono"
"Coleoptera","Carabidae","Agonum","retractum","Agonum retractum",19,"mono"
"Coleoptera","Carabidae","Agonum","sexpunctatum","Agonum sexpunctatum",19,"mono"
"Coleoptera","Carabidae","Agonum","sp. 2    ","Agonum sp. 2    ",19,"mono"
"Coleoptera","Carabidae","Agonum","viridicupreum","Agonum viridicupreum",19,"mono"
"Coleoptera","Carabidae","Agonum","dolens","Agonum dolens",20,"mono"
"Coleoptera","Carabidae","Agonum","livens","Agonum livens",22,"mono"
"Coleoptera","Carabidae","Amara","simplex","Amara simplex",10,"mono"
"Coleoptera","Carabidae","Amara","nila","Amara nila",11,"mono"
"Coleoptera","Carabidae","Amara","rufescens","Amara rufescens",12,"mono"
"Coleoptera","Carabidae","Amara","rotundicollis","Amara rotundicollis",13,"mono"
"Coleoptera","Carabidae","Amara","equestris","Amara equestris",15,"mono"
"Coleoptera","Carabidae","Amara","laevipennis","Amara laevipennis",16,"mono"
"Coleoptera","Carabidae","Amara","similata","Amara similata",16,"mono"
"Coleoptera","Carabidae","Amara","apricaria","Amara apricaria",17,"mono"
"Coleoptera","Carabidae","Amara","familiaris","Amara familiaris",17,"mono"
"Coleoptera","Carabidae","Amara","familiaris","Amara familiaris",17,"mono"
"Coleoptera","Carabidae","Amara","fervida","Amara fervida",17,"mono"
"Coleoptera","Carabidae","Amara","plebeja","Amara plebeja",17,"mono"
"Coleoptera","Carabidae","Amara","aenea","Amara aenea",18,"mono"
"Coleoptera","Carabidae","Amara","fulva","Amara fulva",18,"mono"
"Coleoptera","Carabidae","Amara","batesi","Amara batesi",19,"mono"
"Coleoptera","Carabidae","Amara","communis","Amara communis",19,"mono"
"Coleoptera","Carabidae","Amara","ingenua","Amara ingenua",19,"mono"
"Coleoptera","Carabidae","Amara","moerens","Amara moerens",19,"mono"
"Coleoptera","Carabidae","Amara","montivaga","Amara montivaga",19,"mono"
"Coleoptera","Carabidae","Amara","giganteus","Amara giganteus",21,"mono"
"Coleoptera","Carabidae","Anisodactylus","binotatus","Anisodactylus binotatus",19,"mono"
"Coleoptera","Carabidae","Anisodactylus","hispanus","Anisodactylus hispanus",19,"mono"
"Coleoptera","Carabidae","Anisodactylus","signatus","Anisodactylus signatus",19,"mono"
"Coleoptera","Carabidae","Anisodactylus","virens","Anisodactylus virens",19,"mono"
"Coleoptera","Carabidae","Bembidion","constricticolle ","Bembidion constricticolle ",11,"mono"
"Coleoptera","Carabidae","Bembidion","cordatum","Bembidion cordatum",11,"mono"
"Coleoptera","Carabidae","Bembidion","diligens","Bembidion diligens",11,"mono"
"Coleoptera","Carabidae","Bembidion","hesperium","Bembidion hesperium",11,"mono"
"Coleoptera","Carabidae","Bembidion","inaequale inaequale    ","Bembidion inaequale inaequale    ",11,"mono"
"Coleoptera","Carabidae","Bembidion","inaequale opaciceps    ","Bembidion inaequale opaciceps    ",11,"mono"
"Coleoptera","Carabidae","Bembidion","levettei carrianum    ","Bembidion levettei carrianum    ",11,"mono"
"Coleoptera","Carabidae","Bembidion","levettei levettei    ","Bembidion levettei levettei    ",11,"mono"
"Coleoptera","Carabidae","Bembidion","lorquini","Bembidion lorquini",11,"mono"
"Coleoptera","Carabidae","Bembidion","nebraskense","Bembidion nebraskense",11,"mono"
"Coleoptera","Carabidae","Bembidion","quadrimaculatum dubitans ","Bembidion quadrimaculatum dubitans ",11,"mono"
"Coleoptera","Carabidae","Bembidion","satelles","Bembidion satelles",11,"mono"
"Coleoptera","Carabidae","Bembidion","simplex ","Bembidion simplex ",11,"mono"
"Coleoptera","Carabidae","Bembidion","sp nr impotens   ","Bembidion sp nr impotens   ",11,"mono"
"Coleoptera","Carabidae","Bembidion","tricolor","Bembidion tricolor",11,"mono"
"Coleoptera","Carabidae","Bembidion","zephyrum","Bembidion zephyrum",11,"mono"
"Coleoptera","Carabidae","Bembidion","aeneicolle","Bembidion aeneicolle",12,"mono"
"Coleoptera","Carabidae","Bembidion","aenulum","Bembidion aenulum",12,"mono"
"Coleoptera","Carabidae","Bembidion","alaskense","Bembidion alaskense",12,"mono"
"Coleoptera","Carabidae","Bembidion","ambiguum","Bembidion ambiguum",12,"mono"
"Coleoptera","Carabidae","Bembidion","americanum","Bembidion americanum",12,"mono"
"Coleoptera","Carabidae","Bembidion","anchonoderum ","Bembidion anchonoderum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","andreae andreae    ","Bembidion andreae andreae    ",12,"mono"
"Coleoptera","Carabidae","Bembidion","andreae bualei    ","Bembidion andreae bualei    ",12,"mono"
"Coleoptera","Carabidae","Bembidion","antiquum ","Bembidion antiquum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","aratum","Bembidion aratum",12,"mono"
"Coleoptera","Carabidae","Bembidion","arenobilis ","Bembidion arenobilis ",12,"mono"
"Coleoptera","Carabidae","Bembidion","arizonae","Bembidion arizonae",12,"mono"
"Coleoptera","Carabidae","Bembidion","articulatum ","Bembidion articulatum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","ascendens","Bembidion ascendens",12,"mono"
"Coleoptera","Carabidae","Bembidion","assimile","Bembidion assimile",12,"mono"
"Coleoptera","Carabidae","Bembidion","atrocoeruleum","Bembidion atrocoeruleum",12,"mono"
"Coleoptera","Carabidae","Bembidion","balli","Bembidion balli",12,"mono"
"Coleoptera","Carabidae","Bembidion","basicorne ","Bembidion basicorne ",12,"mono"
"Coleoptera","Carabidae","Bembidion","bellorum ","Bembidion bellorum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","bifossulatum","Bembidion bifossulatum",12,"mono"
"Coleoptera","Carabidae","Bembidion","biguttatum","Bembidion biguttatum",12,"mono"
"Coleoptera","Carabidae","Bembidion","bimaculatum","Bembidion bimaculatum",12,"mono"
"Coleoptera","Carabidae","Bembidion","bipunctatum ","Bembidion bipunctatum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","bowditchi","Bembidion bowditchi",12,"mono"
"Coleoptera","Carabidae","Bembidion","brachythorax ","Bembidion brachythorax ",12,"mono"
"Coleoptera","Carabidae","Bembidion","brevistriatum","Bembidion brevistriatum",12,"mono"
"Coleoptera","Carabidae","Bembidion","californicum","Bembidion californicum",12,"mono"
"Coleoptera","Carabidae","Bembidion","callosum","Bembidion callosum",12,"mono"
"Coleoptera","Carabidae","Bembidion","carinula","Bembidion carinula",12,"mono"
"Coleoptera","Carabidae","Bembidion","carolinense ","Bembidion carolinense ",12,"mono"
"Coleoptera","Carabidae","Bembidion","carpetanum ","Bembidion carpetanum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","castor","Bembidion castor",12,"mono"
"Coleoptera","Carabidae","Bembidion","castum","Bembidion castum",12,"mono"
"Coleoptera","Carabidae","Bembidion","cf anguliferum ","Bembidion cf anguliferum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","cf. immaturum    ","Bembidion cf. immaturum    ",12,"mono"
"Coleoptera","Carabidae","Bembidion","coeruleum","Bembidion coeruleum",12,"mono"
"Coleoptera","Carabidae","Bembidion","coloradense","Bembidion coloradense",12,"mono"
"Coleoptera","Carabidae","Bembidion","complanulum ","Bembidion complanulum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","compressum ","Bembidion compressum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","concolor","Bembidion concolor",12,"mono"
"Coleoptera","Carabidae","Bembidion","concretum ","Bembidion concretum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","confusum","Bembidion confusum",12,"mono"
"Coleoptera","Carabidae","Bembidion","connivens ","Bembidion connivens ",12,"mono"
"Coleoptera","Carabidae","Bembidion","consanguineum","Bembidion consanguineum",12,"mono"
"Coleoptera","Carabidae","Bembidion","contraetum-group contractum ","Bembidion contraetum-group contractum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","contraetum-group viridicolle ","Bembidion contraetum-group viridicolle ",12,"mono"
"Coleoptera","Carabidae","Bembidion","convexulum ","Bembidion convexulum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","coxendix","Bembidion coxendix",12,"mono"
"Coleoptera","Carabidae","Bembidion","coxendix","Bembidion coxendix",12,"mono"
"Coleoptera","Carabidae","Bembidion","dauricum","Bembidion dauricum",12,"mono"
"Coleoptera","Carabidae","Bembidion","decorum","Bembidion decorum",12,"mono"
"Coleoptera","Carabidae","Bembidion","doris ","Bembidion doris ",12,"mono"
"Coleoptera","Carabidae","Bembidion","dorsale","Bembidion dorsale",12,"mono"
"Coleoptera","Carabidae","Bembidion","dudichi","Bembidion dudichi",12,"mono"
"Coleoptera","Carabidae","Bembidion","ephippium","Bembidion ephippium",12,"mono"
"Coleoptera","Carabidae","Bembidion","fasciolatum egregium    ","Bembidion fasciolatum egregium    ",12,"mono"
"Coleoptera","Carabidae","Bembidion","flebile ","Bembidion flebile ",12,"mono"
"Coleoptera","Carabidae","Bembidion","fortestriatum ","Bembidion fortestriatum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","fortunatum","Bembidion fortunatum",12,"mono"
"Coleoptera","Carabidae","Bembidion","foveum","Bembidion foveum",12,"mono"
"Coleoptera","Carabidae","Bembidion","foveum","Bembidion foveum",12,"mono"
"Coleoptera","Carabidae","Bembidion","frontale ","Bembidion frontale ",12,"mono"
"Coleoptera","Carabidae","Bembidion","fumigatum","Bembidion fumigatum",12,"mono"
"Coleoptera","Carabidae","Bembidion","gebleri turbatum ","Bembidion gebleri turbatum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","genei","Bembidion genei",12,"mono"
"Coleoptera","Carabidae","Bembidion","geniculatum","Bembidion geniculatum",12,"mono"
"Coleoptera","Carabidae","Bembidion","gordoni ","Bembidion gordoni ",12,"mono"
"Coleoptera","Carabidae","Bembidion","graciliforme","Bembidion graciliforme",12,"mono"
"Coleoptera","Carabidae","Bembidion","grapei","Bembidion grapei",12,"mono"
"Coleoptera","Carabidae","Bembidion","graphicum-Nr 1'    ","Bembidion graphicum-Nr 1'    ",12,"mono"
"Coleoptera","Carabidae","Bembidion","graphicum-Nr 2'    ","Bembidion graphicum-Nr 2'    ",12,"mono"
"Coleoptera","Carabidae","Bembidion","gratiosum ","Bembidion gratiosum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","grisvardi","Bembidion grisvardi",12,"mono"
"Coleoptera","Carabidae","Bembidion","guadarramense","Bembidion guadarramense",12,"mono"
"Coleoptera","Carabidae","Bembidion","guttula","Bembidion guttula",12,"mono"
"Coleoptera","Carabidae","Bembidion","haruspex ","Bembidion haruspex ",12,"mono"
"Coleoptera","Carabidae","Bembidion","hasti","Bembidion hasti",12,"mono"
"Coleoptera","Carabidae","Bembidion","hasti","Bembidion hasti",12,"mono"
"Coleoptera","Carabidae","Bembidion","hasurada","Bembidion hasurada",12,"mono"
"Coleoptera","Carabidae","Bembidion","hispanicum","Bembidion hispanicum",12,"mono"
"Coleoptera","Carabidae","Bembidion","honestum ","Bembidion honestum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","humboldtense","Bembidion humboldtense",12,"mono"
"Coleoptera","Carabidae","Bembidion","hyperboraeorum ","Bembidion hyperboraeorum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","hypocrita","Bembidion hypocrita",12,"mono"
"Coleoptera","Carabidae","Bembidion","ibericum","Bembidion ibericum",12,"mono"
"Coleoptera","Carabidae","Bembidion","impotens","Bembidion impotens",12,"mono"
"Coleoptera","Carabidae","Bembidion","incrematum","Bembidion incrematum",12,"mono"
"Coleoptera","Carabidae","Bembidion","indistinctum","Bembidion indistinctum",12,"mono"
"Coleoptera","Carabidae","Bembidion","insulatum","Bembidion insulatum",12,"mono"
"Coleoptera","Carabidae","Bembidion","integrum ","Bembidion integrum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","intermedium","Bembidion intermedium",12,"mono"
"Coleoptera","Carabidae","Bembidion","interventor","Bembidion interventor",12,"mono"
"Coleoptera","Carabidae","Bembidion","iricolor","Bembidion iricolor",12,"mono"
"Coleoptera","Carabidae","Bembidion","iridescens ","Bembidion iridescens ",12,"mono"
"Coleoptera","Carabidae","Bembidion","ksteri paulinoi    ","Bembidion ksteri paulinoi    ",12,"mono"
"Coleoptera","Carabidae","Bembidion","kuprianovi-Nr 1 ","Bembidion kuprianovi-Nr 1 ",12,"mono"
"Coleoptera","Carabidae","Bembidion","kuprianovi-Nr 2 ","Bembidion kuprianovi-Nr 2 ",12,"mono"
"Coleoptera","Carabidae","Bembidion","lacunarium","Bembidion lacunarium",12,"mono"
"Coleoptera","Carabidae","Bembidion","lampros","Bembidion lampros",12,"mono"
"Coleoptera","Carabidae","Bembidion","lapponicum","Bembidion lapponicum",12,"mono"
"Coleoptera","Carabidae","Bembidion","latiplaga","Bembidion latiplaga",12,"mono"
"Coleoptera","Carabidae","Bembidion","laxatum ","Bembidion laxatum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","lenae ","Bembidion lenae ",12,"mono"
"Coleoptera","Carabidae","Bembidion","levigatum","Bembidion levigatum",12,"mono"
"Coleoptera","Carabidae","Bembidion","louisella ","Bembidion louisella ",12,"mono"
"Coleoptera","Carabidae","Bembidion","lunulatum","Bembidion lunulatum",12,"mono"
"Coleoptera","Carabidae","Bembidion","maculatum ","Bembidion maculatum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","manningense ","Bembidion manningense ",12,"mono"
"Coleoptera","Carabidae","Bembidion","maorinum maorinum ","Bembidion maorinum maorinum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","mckinleyi carneum    ","Bembidion mckinleyi carneum    ",12,"mono"
"Coleoptera","Carabidae","Bembidion","mckinleyi mckinleyi    ","Bembidion mckinleyi mckinleyi    ",12,"mono"
"Coleoptera","Carabidae","Bembidion","mexicanum","Bembidion mexicanum",12,"mono"
"Coleoptera","Carabidae","Bembidion","mimus","Bembidion mimus",12,"mono"
"Coleoptera","Carabidae","Bembidion","minimum","Bembidion minimum",12,"mono"
"Coleoptera","Carabidae","Bembidion","modestum","Bembidion modestum",12,"mono"
"Coleoptera","Carabidae","Bembidion","morulum ","Bembidion morulum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","mundum","Bembidion mundum",12,"mono"
"Coleoptera","Carabidae","Bembidion","mutatum ","Bembidion mutatum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","nevadense","Bembidion nevadense",12,"mono"
"Coleoptera","Carabidae","Bembidion","nigripes","Bembidion nigripes",12,"mono"
"Coleoptera","Carabidae","Bembidion","nigrocoeruleum ","Bembidion nigrocoeruleum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","nigrum","Bembidion nigrum",12,"mono"
"Coleoptera","Carabidae","Bembidion","nitidulus ovalipennis","Bembidion nitidulus ovalipennis",12,"mono"
"Coleoptera","Carabidae","Bembidion","nitidum","Bembidion nitidum",12,"mono"
"Coleoptera","Carabidae","Bembidion","nudipenne ","Bembidion nudipenne ",12,"mono"
"Coleoptera","Carabidae","Bembidion","oberthueri-group oberthueri ","Bembidion oberthueri-group oberthueri ",12,"mono"
"Coleoptera","Carabidae","Bembidion","obliquulum","Bembidion obliquulum",12,"mono"
"Coleoptera","Carabidae","Bembidion","obscurellum","Bembidion obscurellum",12,"mono"
"Coleoptera","Carabidae","Bembidion","obtusangulum-group mormon ","Bembidion obtusangulum-group mormon ",12,"mono"
"Coleoptera","Carabidae","Bembidion","obtusangulum-group obtusangulum ","Bembidion obtusangulum-group obtusangulum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","obtusum","Bembidion obtusum",12,"mono"
"Coleoptera","Carabidae","Bembidion","occultator ","Bembidion occultator ",12,"mono"
"Coleoptera","Carabidae","Bembidion","octomaculatum ","Bembidion octomaculatum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","operosum","Bembidion operosum",12,"mono"
"Coleoptera","Carabidae","Bembidion","patruele","Bembidion patruele",12,"mono"
"Coleoptera","Carabidae","Bembidion","petrosum","Bembidion petrosum",12,"mono"
"Coleoptera","Carabidae","Bembidion","planatum ","Bembidion planatum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","planiusculum ","Bembidion planiusculum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","planum ","Bembidion planum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","platynoides","Bembidion platynoides",12,"mono"
"Coleoptera","Carabidae","Bembidion","poculare","Bembidion poculare",12,"mono"
"Coleoptera","Carabidae","Bembidion","praecinctum ","Bembidion praecinctum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","praticola ","Bembidion praticola ",12,"mono"
"Coleoptera","Carabidae","Bembidion","properans","Bembidion properans",12,"mono"
"Coleoptera","Carabidae","Bembidion","pseudocautum ","Bembidion pseudocautum ",12,"mono"
"Coleoptera","Carabidae","Bembidion","punctatostriatum","Bembidion punctatostriatum",12,"mono"
