"","i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","p"
"1",1,20.3375733282883,3.08003797545098,6.29352635315187,2.25860013941824,0.254142988325229,0.516386322877798,0.00678296795906303,0.198011351339465,-1774.9735086078
"2",2,8.36756298287847,1.19310255971955,6.39588212845325,2.29954689127834,0.530217486893932,0.468188258501498,0.00986126496178469,0.0283571967649994,-1690.15762695061
"3",3,7.25358246718572,1.06507343159036,7.12978399242354,1.21375011394722,0.512817842601359,0.452202656347916,0.0485816316255878,0.0217210613267513,-1685.55956362809
"4",4,6.86281983192054,0.740964115519875,6.87772922759675,2.30776628072469,0.534393594317225,0.538291218158655,0.0364516896733893,0.0203694061594413,-1685.16913038976
"5",5,5.85418408346067,1.91077568163345,7.35508255817834,2.55574932572705,0.546057364145426,0.525406858268417,0.0104167066445623,0.0110761756569003,-1685.42987507078
"6",6,5.2420536524334,1.66339314018109,7.15846494915483,2.20305421021625,0.496485677992722,0.410237732250912,0.0501340952364403,0.005505587100284,-1682.13719399946
"7",7,5.09082913166273,1.16442872461476,6.88227376410025,1.93524738433585,0.463365099904062,0.482473449147566,0.0641047177247076,0.0135266868381371,-1682.18204092488
"8",8,5.00866848708746,1.22582529859956,6.88202906242272,1.90959653106538,0.599186529271769,0.632386822924974,0.0182386615363068,0.0212596731737796,-1684.17219481089
"9",9,4.65702891098329,1.4842107498812,7.87760610163051,2.68247415743661,0.692516008242123,0.568800696145493,0.0431172880908106,0.0217415164057264,-1686.22980552779
"10",10,4.74050430171709,1.16561214174645,6.4865452980843,1.72209530497264,0.493654337483877,0.633163101174152,0.036305741493776,0.0296905349549405,-1684.04946758251
"11",11,4.62930083308954,1.26113737149894,5.61308525985628,1.61745182594103,0.471728782586819,0.568919260242509,0.0311483467927645,0.0370987580610117,-1685.46690986428
"12",12,4.73041742415983,1.38966208765101,5.85245435412222,1.50972107104528,0.408215448083522,0.517767583816739,0.0322304353863149,0.0341122890987675,-1685.12315717711
"13",13,5.39403408666258,1.63639658521629,7.29006732543789,1.49821573202754,0.53994001400293,0.591871831018431,0.0261515453150189,0.0350167360396438,-1685.35700385282
"14",14,5.17778821518233,1.61750557703912,7.44424496009716,1.85698448971617,0.440594129566969,0.366341362795871,0.0182729563157264,0.00347498416735392,-1683.83518516768
"15",15,5.23479754346733,1.29368782644278,7.20278972313886,1.90949472975517,0.595446063232396,0.459315919660506,0.0524025662454064,0.0101976542120076,-1681.94730059908
"16",16,5.36433717701876,1.51516687170752,6.01398662009273,1.44460185354995,0.448362756259587,0.5112985750992,0.0212700771075459,0.0234246387339313,-1683.66984981364
"17",17,6.92450480178476,2.74819472465092,6.45101750023535,3.33528679268008,0.474343142322821,0.525330875814999,0.00547344757329186,0.0142063445667984,-1693.02044373779
"18",18,7.08060935252615,0.651608400650447,8.5485871027619,2.60060417488506,0.44671899249543,0.495621882566421,0.0613200105401639,0.00676945586925978,-1686.78171376781
"19",19,7.44866553757793,0.3533981438986,7.71397631910177,1.39051263746971,0.426057778397489,0.509184231944429,0.119041746607688,0.00250380363521824,-1688.98557098619
"20",20,5.89457921062711,1.23010901207562,6.89243218122756,1.76253752823012,0.407096869338083,0.6081646642273,0.121735156063891,0.016349596903906,-1688.48269894412
"21",21,7.53811234013638,1.08978620639368,7.65881838824879,1.48100619645767,0.449393941578045,0.487507106805884,0.117617005892369,0.0109292269325265,-1687.96042153437
"22",22,6.31815601741213,0.911597371086891,6.26053633883925,1.29953707289065,0.671816556951302,0.644652015178681,0.0919566762505126,0.0110154985271843,-1687.84268321713
"23",23,4.78411045993878,0.626943796514324,6.91498168299167,1.58848449844511,0.588731544116273,0.584257874843972,0.059551018675818,0.00728513736521061,-1683.99234706317
"24",24,6.55566737822622,1.6774706034628,6.42367620512067,1.25657803769797,0.365232113796206,0.495784084665621,0.0572387921780884,0.012473313835528,-1686.10550896076
"25",25,4.73863480166652,1.19692589206058,6.42297638587578,2.08419699965722,0.479260879942371,0.58045882910341,0.0132491987160491,0.0203287125796903,-1683.16185224931
"26",26,4.47305966827028,1.10716623598754,7.21429443820509,1.85524398756866,0.502743737923643,0.459997085965016,0.0319182140084731,0.00226512267260038,-1681.02805945633
"27",27,4.33743136351302,1.60508294483896,6.78048200595178,2.38018781206385,0.584383585975046,0.439147258364979,0.0264887135481601,0.00687679247622038,-1682.13435706656
"28",28,5.10088207227554,1.65707732829846,8.23485975812173,1.81781499939017,0.513788355783808,0.476238093763227,0.0407368420396852,0.0265468674991077,-1684.46268238725
"29",29,4.90204568732805,0.622469972187734,7.44291489412193,2.09064031162928,0.740555352961846,0.480416498229991,0.0751511246033925,0.0200152252185374,-1687.27758686159
"30",30,4.48546733284011,0.714233078734388,7.81198878696697,2.02946196247458,0.694201607626587,0.491471616305163,0.0627480686939648,0.0219354866954727,-1686.02042974291
"31",31,4.82471308133547,0.931379939473485,6.46108283326905,1.86292087241141,0.39239704132836,0.459559509469343,0.0622033242768155,0.0107575740829396,-1683.74017229033
"32",32,4.89871014044301,2.19796401383956,7.22187163751069,2.1304957267003,0.558524155614443,0.537252990474083,0.0188348367653192,0.00508186177951715,-1683.54174909551
"33",33,4.04047526005914,1.77005938640821,6.34871762300073,2.2256896288163,0.67305298487442,0.513500438259971,0.0540443603674541,0.00351763752312511,-1683.89463398424
"34",34,5.44084702803766,2.17374239536043,6.73602497149199,1.95188101718985,0.506446637210746,0.505596557143542,0.0411879368151615,0.00221725745047157,-1682.74699231682
"35",35,4.48504905548894,0.944822570582901,6.08437466907967,3.01967368825489,0.465141768047342,0.43903305426574,0.0255649480617843,0.0109633697805805,-1685.25265127541
"36",36,5.06274268874587,1.010183513306,6.53828855650373,2.71569415544911,0.593669008586245,0.442802422065011,0.0693390385935744,0.0189978678535814,-1685.66526871591
"37",37,3.57932643217196,1.19606306040884,7.35117637448703,1.24033527750132,0.519574292167039,0.568347943019051,0.103131642200083,0.0156139445178152,-1688.65398327738
"38",38,8.21888327633751,0.569167432316786,6.9161014522214,1.32097990498317,0.486605897010354,0.586041938969367,0.0291262694520047,0.0100311662097726,-1685.86457599288
"39",39,8.29651189342341,0.497342344756058,6.93238918065982,1.18031471494051,0.489033038305859,0.568738537729082,0.0298544828095256,0.0149697773023451,-1686.35551634029
"40",40,4.9608468161223,1.7624838535037,6.74073603460612,2.03929523439304,0.476240198388827,0.566816039031013,0.0273814997805683,0.012756945332243,-1682.0750991455
"41",41,5.07700758175038,1.06520174692759,6.73818075069564,1.58586655901399,0.476118106305597,0.451804299634768,0.0408371778849699,0.0601002218218997,-1687.3924079557
"42",42,5.31491569063961,1.72530902201723,7.21686756278955,2.01844100726565,0.619470886148354,0.429211724512351,0.0283318647910646,0.0511616377768697,-1686.93972678546
"43",43,5.14135004596542,1.06926675095322,7.07293804436954,2.16793565104019,0.512868999226964,0.590159307579113,0.0262244393318643,0.00151972825240248,-1683.13682004175
"44",44,4.9798688482652,1.39546248293858,8.2523195675756,3.59835077467113,0.60609702535837,0.300501526455888,0.0357022029483136,0.0122168215518981,-1688.38759393343
"45",45,4.63120635358497,1.36611335366022,9.74025125007029,2.93826072495978,0.495236998007895,0.522464460611334,0.0419223406250737,0.0392076205762766,-1691.16168793328
"46",46,4.45947092175484,1.58326212944809,6.94191524177392,1.20816562688469,0.479364994774626,0.547383057112402,0.0289556969558063,0.0107674573778883,-1682.66910112704
"47",47,4.66962774765976,1.16455893367279,7.01785232760532,1.94457032527602,0.459989890636216,0.348867338737273,0.0126989087510157,0.00271809272260319,-1684.64293954351
"48",48,4.7773782426874,1.25586642274687,7.02636698400929,1.90157686627533,0.68601880220816,0.353060995581422,0.0288205668669928,0.0291085363113529,-1686.25465914861
"49",49,5.02880471576761,1.44949307152027,6.50698449240991,2.25295367531173,0.383625840136063,0.386185417959175,0.0344289216767005,0.00776507035823141,-1684.01988650013
"50",50,5.95072716360773,2.29854177581936,7.55264044138419,3.67081426516388,0.459723950357035,0.473043260609835,0.033476933994551,0.0149742250110192,-1688.22149998987
