"","i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","p"
"1",1,6.63710633985142,1.19820136656095,8.654930096341,3.47425859638987,0.599930302753263,0.312810619627005,0.229244140019858,0.533861930492802,-1792.99215366264
"2",2,3.6226941028069,2.00426466306551,7.61577763203736,2.40752841181152,0.60198179651567,0.39328151596093,0.244235091402672,0.0805633332902344,-1720.79361821896
"3",3,2.7613059230933,1.75813799416857,7.14961747939532,2.45426998205329,0.617759210311882,0.358172121529736,0.146975621476961,0.0921496088130101,-1715.56574670087
"4",4,2.96391023923111,2.09375466310552,7.78254370331632,2.95148328710419,0.567400570621472,0.425746808445006,0.0964027642052553,0.06787261811878,-1708.22476136222
"5",5,2.87257909706212,1.45432003774245,7.5950157347436,2.09310533381103,0.56514395213284,0.450068171618703,0.0878853272509201,0.0097963243598843,-1700.3441493454
"6",6,3.66666514509445,1.45605268795269,7.30069804807033,1.85795736617869,0.694811425017041,0.533256319754228,0.0694047553985726,0.0205242070258653,-1701.67807922032
"7",7,3.58809237932614,2.12205248892136,7.45464191842177,2.91502234981753,0.690754896390898,0.442680491410767,0.0315255067722306,0.0104539967910528,-1699.57417083412
"8",8,3.08110886268736,1.75114021990064,7.176039321609,2.55554889386723,0.692783904571858,0.461719974913542,0.042639072408446,0.0145370686807467,-1698.21337939323
"9",9,2.54923325568529,1.81661891479353,6.65019417583091,2.62565234602074,0.526075463844291,0.487013696351997,0.0459921362723423,0.0115580914822411,-1698.30852381022
"10",10,2.79322809290579,1.62122114192735,6.57548752659339,2.50849981917173,0.697523803574336,0.386047583155166,0.0314056035525892,0.0166973108730186,-1700.00758059955
"11",11,2.76702977924893,1.66754858005217,7.29338652596642,2.97824649431472,0.558140799655537,0.480007129670292,0.0296812347328691,0.0114903440589761,-1697.51965873768
"12",12,2.8002900784315,1.48687596382995,7.7048794107456,3.17215075854056,0.54572506791408,0.463829834087253,0.0322961738602275,0.0164588629861175,-1698.79530861098
"13",13,2.85794344314314,1.37488290829848,8.50283389449977,2.97482109550506,0.504897247308368,0.663414555988973,0.0710803386024318,0.00991627449622091,-1704.51704181583
"14",14,2.59686597659928,1.12570164920028,7.94979177223815,3.15881719197137,0.555438784751515,0.739248903734716,0.0291293776368886,0.020024563631966,-1707.44327531186
"15",15,6.23386884385544,0.855470307549463,6.76574866343259,2.9489674936499,0.636305138931408,0.613734038939239,0.0717447803420351,0.0212802398323477,-1705.53714884625
"16",16,4.66953454907079,0.904950436698897,6.54474384969778,2.17440626781986,0.620573001743068,0.594992307872141,0.0247202358484127,0.0214817565329908,-1699.91752228386
"17",17,4.58300534772141,0.9360845985461,7.53630647962425,2.06621637181662,0.570394514948312,0.571784106323088,0.0798413162372927,0.0136317847299308,-1699.64685437407
"18",18,5.84036308838865,0.485248518558033,7.42043456308729,2.11606800829018,0.574309909268116,0.598673131630129,0.0726104395948864,0.00651884966940477,-1701.45495543383
"19",19,6.19355327383864,0.829663772908814,7.14080495677326,1.33918828539962,0.547604468083317,0.610124190333265,0.0688209124585064,0.0130254007853045,-1701.8537482419
"20",20,4.14521805023296,0.930140420494252,7.18460677821767,3.0150844730984,0.667486560640689,0.407976622512302,0.0326454335177392,0.014928311510324,-1700.93186085342
"21",21,4.76680765419298,1.57312701429376,7.11947442245061,1.84742333325144,0.53741080057166,0.488132975798201,0.0195233384957429,0.00582489929984056,-1699.4840931876
"22",22,6.6417119846144,0.522152052948829,7.30368360188419,1.62003917137225,0.358729135339731,0.590872141674831,0.0143947361004192,0.034048680567794,-1707.47372753059
"23",23,5.38450767550585,1.79618093319874,6.78465829244359,1.14246464864149,0.714253198323368,0.559529128904681,0.0306356265925441,0.00814977031478694,-1703.00927374519
"24",24,3.69218164189405,0.898282390146318,6.89693870276898,1.91284663633923,0.548861381721427,0.416728789625618,0.0306703961187156,0.00746026096672723,-1701.23552565593
"25",25,6.41757509253388,0.988567328078067,8.56981596046444,2.02072890705086,0.574909023001546,0.505682039740206,0.119671273340137,0.00971970859595033,-1704.69485986303
"26",26,5.72913947971818,1.04707723260875,6.36826276158021,1.64528031753576,0.674442818647046,0.612533910213402,0.0508907471016856,0.0141735809606117,-1701.63010422653
"27",27,5.3936775220752,0.837308372910142,8.73086561091276,2.63857515538205,0.654404277655596,0.327873548620007,0.023760585480513,0.00393915913834798,-1703.59648084613
