"","i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","p"
"1",1,13.7308290344663,1.25252161472305,6.41130393950569,3.51705392587843,0.668134286259966,0.371643493831492,0.49417062525102,0.417852570939331,-1793.8101616117
"2",2,8.62505262513105,0.380223499944798,9.29272275372582,3.51921681287047,0.508888023284224,0.378290471690161,0.171668123831857,0.36903261211625,-1742.48324839678
"3",3,7.87874820375662,0.868902416818458,7.32197595506273,4.02934874801181,0.496111102122571,0.342362367845062,0.00828529641112041,0.0297065420120216,-1687.03890880032
"4",4,7.2210013716648,0.858376894429054,8.90872766625653,3.83672896307392,0.365355762050789,0.527371082105284,0.0149051608969719,0.00210606013017958,-1687.31448651588
"5",5,5.51299901261098,1.28001222881459,7.64400856833399,4.35022565089841,0.717578579953757,0.251650181121677,0.0601175067417037,0.00808542351043071,-1684.54747294547
"6",6,3.41613419385555,2.92770355913692,8.77151242113997,4.80580587729047,0.596929805281062,0.322182528851212,0.0584818322157272,0.00493789607310187,-1685.2024688933
"7",7,4.55047529293444,1.75067629451315,8.70585844759226,4.92501594072121,0.512252552920332,0.265789992870894,0.0564875954100585,0.0079241881218026,-1682.02029944529
"8",8,5.12350310662834,1.56494098484633,10.05007875182,4.58535097479852,0.502130482253529,0.293594482020551,0.0445285900009177,0.0132404214410729,-1682.03614304858
"9",9,5.21943669845222,1.00255203471124,8.73516639920082,4.7704794542896,0.641287108604452,0.278501968907388,0.0631018672441382,0.00566251546777416,-1682.55752974686
"10",10,4.65384245487031,1.42605431294073,9.56552998157408,5.94812970842183,0.456062670392978,0.327017033552625,0.0439581258506252,0.0055076558781409,-1683.69063408886
"11",11,5.1945154192679,1.30340733818495,8.64547173023823,2.56701892972887,0.695099050803773,0.345905382588227,0.0234571045150939,0.0219461674653334,-1684.74083124928
"12",12,4.75851538308994,1.41313702578715,7.90130460130052,4.79700795873921,0.664501650160384,0.369261816580698,0.0369863529325214,0.0101553603111235,-1682.08251582942
"13",13,4.60073955544319,1.57851045529943,7.65778917963824,2.60807564964024,0.423022002559314,0.319628511927004,0.0241839884991016,0.0103297084436884,-1683.51706236054
"14",14,6.02629762438119,1.42322940712004,7.41700752870345,4.10335136957981,0.622916396709874,0.319043978582333,0.0310718848580773,0.00687544136848838,-1681.82504620625
"15",15,5.20006381951114,1.36242251685425,7.89660984265972,4.48745002564008,0.601671806987339,0.323182559806849,0.0301678974600711,0.0108924790767932,-1680.60409955754
"16",16,5.12917047780688,1.71105871448909,8.56560113160281,3.51801029011887,0.534438559677797,0.306311149935753,0.0340907983265388,0.0148997872864521,-1680.92985552366
"17",17,6.13900652973915,1.21906986190776,8.73778001269958,4.4296412833108,0.426126793135801,0.350056748095987,0.0411492401553236,0.00369096796423767,-1681.42721213179
"18",18,4.62313820550625,1.35923478880427,8.05694407062068,3.01532516607232,0.584113461944016,0.463654753518388,0.0439492288182509,0.0163727424150643,-1682.68881985423
"19",19,5.49230214667457,1.12124358153224,7.97697301371691,1.97108499006819,0.486087226608487,0.532698289119537,0.0504062234648396,0.00465878814124788,-1684.41284698084
"20",20,5.18380616730229,0.977211321156221,8.62626422058161,4.90016377580487,0.58095231841038,0.455656949612489,0.023375467430656,0.00938536827713313,-1683.75481013151
"21",21,5.71603762979594,0.656980750005713,7.37376368321916,3.98584602751244,0.558137198026322,0.37750271385213,0.0597466454231377,0.00114686253911678,-1683.18892085727
"22",22,4.75786472797227,1.63946085616845,8.27670002906603,3.70069395275494,0.591673636543638,0.368777085704479,0.0459704265095391,0.0221098947628787,-1681.88011099929
"23",23,5.37932890757537,1.57451451584473,9.67890952117219,4.93099519412074,0.712222182118365,0.258568144858205,0.0459868670714261,0.00679739970406318,-1683.97412566868
"24",24,4.5241031725995,1.07047430245256,9.36688186524399,4.52116868735276,0.508707731610295,0.224256678759773,0.0513599003503151,0.00872163348252706,-1683.09173577303
"25",25,5.55712846737872,2.54846696260224,10.1880367057617,4.92413769291498,0.45497003230916,0.357867245337528,0.0566302356539121,0.0137549423301847,-1686.41246976057
"26",26,5.85044573715458,2.33746616453145,6.29919742042628,3.66665756424211,0.486191337304794,0.344577020693076,0.0296675752525272,0.0109275981657272,-1683.60353388107
"27",27,3.43051740723092,2.21761931690802,7.06812311222978,4.43746420834413,0.613291936605041,0.367855161142898,0.0377312151574278,0.0181914378313888,-1682.14693417685
"28",28,4.60307717068926,1.10788285990932,8.05572389463271,3.89120957556238,0.453740371718288,0.388420764315178,0.0476185979364451,0.0134474628607693,-1681.18528849636
"29",29,5.03494183802304,1.45280411624711,9.37774147873888,4.69558551086847,0.588845542821004,0.417234211463653,0.0773974295281668,0.0198871852015603,-1684.69914636223
"30",30,5.1056280564608,1.3645710112897,8.07897621559346,1.85884995682735,0.575820956775174,0.368836536319151,0.0181247653269685,0.00877756317177845,-1685.2780515718
"31",31,5.10783237645873,1.2416579983324,7.85321232196415,4.3018846441902,0.46986920505553,0.29935286591187,0.0547160554195419,0.0132184613462556,-1680.77228304691
"32",32,5.83494280603538,1.55537524525723,7.82887927209541,4.63812717136824,0.491385467018733,0.294878412013282,0.094059826717236,0.000742048544885668,-1684.69207591357
"33",33,4.65238063693005,1.11178189519973,9.76928361020632,4.8734690074441,0.554901229660451,0.241500086253556,0.0877235844998147,0.0260758594940686,-1686.01217201363
"34",34,5.41172467360422,0.909300988257228,7.50820972846191,4.67193988442155,0.555367858180347,0.400167930764428,0.0200913062341302,0.00662486032478519,-1682.63849807922
"35",35,4.78185127160842,0.952227172650149,8.50762794422323,3.556378336643,0.535502315383055,0.298608196934292,0.0491785488460878,0.00442421160250704,-1680.72057845034
"36",36,5.81354063906035,0.465627384028411,9.48579739064555,3.08311427086729,0.519997812366014,0.297942590457371,0.0317626492531776,0.00298230295762035,-1682.622035109
"37",37,7.51334793770994,1.27031952900957,8.91868192879346,2.68897175040266,0.61273532545852,0.412290235837947,0.0289196163078145,0.00293921174038867,-1684.14711930577
"38",38,4.9398908828456,0.845723611623266,5.73512690783141,3.45306374691712,0.38697873414604,0.406091140646522,0.0814939399929436,0.00794804414864716,-1686.5275817607
"39",39,4.6848899686952,0.959774551535663,9.03829429809383,4.86887333750819,0.38893371755326,0.223517346376305,0.078238222112914,0.0105166385276188,-1685.91572247584
"40",40,6.53706755664559,1.25222683602461,9.5245287016498,3.65703603557496,0.488632923361906,0.217124667648344,0.114438452497466,0.0129222508266447,-1687.38718185709
"41",41,4.79409054398649,1.9035057207461,6.82850868792188,4.62499711161367,0.53088607036805,0.487352104345437,0.0838531878062124,0.0102965935772086,-1685.79553331642
