"","i","asc1","desc1","asc2","desc2","tran12","tran21","p"
"1",1,17.3272290548087,21.3733914832119,4.30044012027793,11.9288430956658,0.265674844802352,0.313542198396177,-1979.29498506887
"2",2,22.3949364832944,16.4648086032675,18.2919122923072,18.3073470215316,0.0307468036901998,0.32163953793949,-1870.50821949809
"3",3,22.8483133593672,13.2297094445379,22.8054875016088,18.1760009664295,0.0325641285819432,0.269293005016731,-1855.15379602102
"4",4,23.2321584082761,12.7724222396403,22.5088732832317,18.4554509340933,0.0342365453655207,0.0933076495182724,-1830.67488054899
"5",5,24.1647209929981,15.6353898500671,20.4754753466239,15.7649253818393,0.00702735264234125,0.00238294652877043,-1823.56050064557
"6",6,24.7211529863845,15.3126719489043,20.7537371616967,17.1622983535993,0.0868074630712345,0.0158446388625869,-1822.64990830894
"7",7,23.6825938454684,14.3993178226058,21.1349455641905,16.1040978076611,0.0775172658520267,0.00775636735030952,-1821.51272231711
"8",8,23.272888836937,12.8056087993413,19.5720208505055,14.2416061697309,0.121789662644514,0.021837585674707,-1826.96443478045
"9",9,24.4060854825431,12.0573503719569,19.1284401529043,16.9323936339434,0.0217906486589267,0.00359304102769727,-1825.76578155067
"10",10,20.1440807591604,14.4585842818169,22.0714804216055,16.7951272523608,0.0332128113044068,0.0150965454563656,-1825.05549944949
"11",11,21.6764963859755,13.4254479034464,22.1450267140448,19.3510193151145,0.0969995389561717,0.00429230999629463,-1824.42788018556
"12",12,23.5618619745454,16.4520098538845,22.0319489213854,19.000274167373,0.0304015977057549,0.00442045669836314,-1821.75441766214
"13",13,24.0316961100056,13.0373690685083,24.3627487407045,19.1481569281979,0.0995865864931152,0.00529789821996611,-1823.54882835552
"14",14,21.9176084985118,13.0757870288834,21.4787227359093,16.1042269124641,0.0434911908569633,0.00592261177625372,-1821.34590921727
"15",15,23.9962060778111,14.2836740277763,22.2047274699153,19.0569339904829,0.0642573607533067,0.00796849300338871,-1821.2288527983
"16",16,22.9244276985793,15.4420641165798,22.537806056513,15.9383882234337,0.02712430364876,0.00657401821039569,-1822.87776625603
"17",17,22.773201421553,14.0636098826333,19.7371032995252,16.9309539909922,0.0314805303573556,0.0150767190337924,-1822.84240242134
"18",18,21.9096255355284,14.7200846599636,20.1385465973799,16.4415173903261,0.0293220655379312,0.0126247879229795,-1822.94840434806
"19",19,23.7972134091255,15.0561798326057,21.4654841435458,15.9568771565503,0.0354889301287144,0.0356544113833161,-1823.39488210569
"20",20,24.2576499260498,13.2093196846747,20.3947501145668,15.6989234469831,0.0128980022000787,0.0141276536685735,-1822.157418144
"21",21,24.3275063307522,12.8769585712337,20.5562404587038,16.0072224620259,0.0120916690366755,0.0206794902363701,-1822.83716761168
"22",22,23.0858608319782,12.0381007422239,21.1926351756024,17.1335633834385,0.0558681466308615,0.00721044243764053,-1821.45589916951
"23",23,23.0290573214204,15.1907202899328,23.2023546369913,17.8852392282573,0.0564774484412565,0.0103648168462436,-1821.89338472804
"24",24,24.6061648645221,15.4495844285776,22.9363060320962,18.4262813182241,0.0434593607169158,0.0131098997874458,-1820.47988937649
"25",25,24.6082624046091,16.2217050778915,23.3700506661101,17.6340966842723,0.0456491085655562,0.00327118103385,-1821.27574825824
"26",26,23.6202414431189,14.0629526046599,23.8035208009918,16.5764106643561,0.0340659859872899,0.0141063634732674,-1822.7568917533
"27",27,23.9302272741228,15.2526103969161,20.0292091998082,16.4580973351213,0.0286898581330221,0.013746275935957,-1821.66172236908
"28",28,22.499378348339,13.2949541303055,21.3113078518212,15.0494574914456,0.0247067015235336,0.0139433387951937,-1822.23909149927
"29",29,22.3929082044748,14.39103882381,20.380772421698,16.8506929539578,0.0219919737737164,0.00208015243014512,-1822.3666238872
"30",30,22.7395929712036,12.9945020986656,22.7780829096491,17.1981608263158,0.0355219679544612,0.0141227508163853,-1821.11077383441
"31",31,23.2865212486617,12.7513971351376,22.0823600770179,15.1017088350283,0.0344880194121335,0.0130814536720365,-1822.11431581914
"32",32,23.4185304297744,12.2292271424501,21.3605366163502,18.0891188923048,0.0892469126908879,0.0215510996606332,-1824.53094405053
"33",33,22.082791470862,14.294213525413,22.4467841743014,17.4995865760678,0.0730113167225368,0.0154736291786397,-1823.01309014662
"34",34,22.0570038446475,12.3098970442938,23.2410891771489,19.2725612780103,0.0416575420013076,0.0153275853274255,-1821.9988304603
"35",35,22.6801300643039,12.6652250213559,22.7634344778371,16.1287794120501,0.0358031544483355,0.00382213979062601,-1821.60802422809
"36",36,21.7278964244227,12.1175541349615,21.9799365658686,18.5781657111289,0.0418955151867161,0.00777028375351016,-1821.72729900721
"37",37,24.7963680831733,19.7953805017253,21.7080422322733,16.8787097088001,0.0468387190580452,0.00412317610613333,-1824.56571464496
"38",38,24.9289002949426,19.2530431593358,21.9836266304017,16.9207358271112,0.0302855129465475,0.0158890373514658,-1824.19235355121
"39",39,24.6059368882402,11.5938198402391,22.35031373964,17.6656613136219,0.042592035358046,0.00644987485201229,-1822.73990230304
"40",40,23.9815437564586,13.5797381551039,22.2993732504799,17.5000041782145,0.0314867451208568,0.00899882371441311,-1819.99780872043
"41",41,23.6314003559563,13.359779140865,22.9276812324923,18.9699201473952,0.0328892393575017,0.00560912699605231,-1820.38864869486
"42",42,23.4819837571561,16.4273713518806,23.652841842314,19.9889011747631,0.044064331577417,0.00798712305409721,-1822.17673558362
"43",43,24.8645695560098,15.9665742009395,22.9353508380787,16.1021322989941,0.0430455423299093,0.0083656618510369,-1821.75419099478
"44",44,24.8677699693981,15.3478104538585,22.3830027275114,18.7808295759487,0.022644788981988,0.00455020946691252,-1820.36213798229
"45",45,24.4743168333165,15.7622602093657,23.2236498015197,19.0860696583928,0.0386614732772432,0.00184545396963382,-1820.90135972273
"46",46,23.0414869317168,11.4256530077669,23.6163975975411,17.7771490089554,0.0374554080136654,0.0067296420760938,-1821.87246549302
"47",47,24.2008735019045,14.723698686189,19.6510175928959,18.2276585404539,0.0701716265044438,0.0124694681809887,-1824.53919135752
"48",48,24.690860551133,14.7361583174537,24.499377958946,18.9442697401231,0.0219437883019865,0.00909354328981716,-1821.30495226414
"49",49,21.4382687308748,13.6739583627754,23.1861809369685,20.1984999877404,0.0231686655649444,0.0044644853862207,-1822.80114804294
"50",50,21.1202759503812,15.6352241855292,23.450206892495,20.0427625391517,0.0295884452757231,0.00453480048800917,-1824.03201813031
