"","i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","p"
"1",1,9.4116677095014,21.1169210435774,16.0340736110584,24.5489129098132,0.25636619090808,0.163408697050344,0.228756868484672,0.385517381245288,-1844.66944787581
"2",2,8.16453324567653,6.71519085964015,3.90713485343211,17.7941776591706,0.253824159834898,0.081082945753918,0.0892584014844686,0.348612691651783,-1785.19036717071
"3",3,4.61829667857792,5.93232542518907,19.3495482961943,10.3628623331324,0.785010303289426,0.0868156567548211,0.071690494721517,0.0603876597359374,-1731.85233146845
"4",4,2.70930188434699,4.24825088114054,6.94348962989591,8.50129680264528,0.653270228953699,0.197462440755855,0.0691012649459676,0.0226007076628929,-1692.73748512335
"5",5,4.70274692649695,2.92413002141114,8.39864269891724,6.91865897041043,0.502055093454722,0.296282363160563,0.00397342560056608,0.0173188808604386,-1679.15300313721
"6",6,4.49287692776681,2.3474919061957,8.72304987961659,2.39607051394777,0.541027592930848,0.355364290467353,0.0781075462356212,0.00479707869565991,-1666.73936891772
"7",7,5.2138733570252,0.292101636024211,9.20817506101701,2.78845382352718,0.514420860129919,0.177545274603576,0.0708682848718748,0.0214569498469281,-1672.81042443358
"8",8,6.63347033170256,1.65331410130907,7.76767978267786,3.30622510525646,0.655039870036945,0.306615221873526,0.0370239727311004,0.000343069643446009,-1669.03896281083
"9",9,4.04188473979197,2.09916360535597,7.79728780792173,3.05210561200297,0.387447149359303,0.327145989926433,0.041211375446595,0.0145662033581217,-1665.10345047984
"10",10,5.69560444795216,0.956483422434482,8.40508879924945,3.15682172385668,0.673236259589905,0.325123833996134,0.06510187525005,0.0111926775115604,-1665.43619580872
"11",11,5.39682599791199,0.70282182980864,7.43745095372726,2.14434940914416,0.773835762962699,0.494386191733947,0.0511425815622165,0.00317091697395507,-1667.75201356505
"12",12,5.04703231264802,0.818870445910994,7.29532389040279,2.55568099008671,0.772050950869169,0.420434856983084,0.0212391746967635,0.0122052424558545,-1666.87788476587
"13",13,4.86085042721957,1.06135376228612,6.67335557028114,3.09886773493405,0.435366483317811,0.364744971027232,0.0619490280142254,0.0123472619321336,-1665.38373547477
"14",14,4.76484672833772,1.203901843868,8.38197498853997,2.9579631168118,0.547675435733102,0.381955483623971,0.0646043215233915,0.0283283751084643,-1665.45248210128
"15",15,5.83974934599079,1.22135331130312,7.4391322329393,1.86873499597838,0.59849271181358,0.457453504670501,0.0194053373267458,0.0307983453669866,-1666.40739198085
"16",16,6.84940534400326,1.06099558545761,6.75875580268368,1.4950660951828,0.776217904388246,0.36873443986829,0.0318165165924147,0.00183743334280237,-1668.56573590806
"17",17,4.73301522564194,0.577624730375986,9.22379114317944,4.15619384711605,0.352992611813209,0.226437313568933,0.0357200625292529,0.0148974756191354,-1670.30865076521
"18",18,6.80786008034276,1.32150077180414,9.10722347510494,2.44423750916398,0.509243449068725,0.331285348921518,0.0205221066457721,0.0025194678145369,-1664.53801828498
"19",19,6.90294943628816,0.543426571850129,7.73894052610087,3.50392746346172,0.463863282200466,0.363823083976518,0.0682816699026297,0.0209248655044553,-1668.83317022438
"20",20,6.09371676297803,1.15411939122895,7.94613667035134,1.80794311214319,0.526861411039298,0.363556298413986,0.012064160810959,0.0298483498981693,-1665.78413481952
"21",21,5.09146565129446,0.99602023128714,8.28685655024319,4.61687182448886,0.486538869944386,0.290758774684858,0.0351212319911767,0.032130148526118,-1668.71195670886
"22",22,4.88896648536431,1.78159170930064,8.55244915566421,4.96703228435202,0.54611884985223,0.23795643049656,0.0219698446875748,0.0347112060893717,-1670.3488713153
