"","i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","p"
"1",1,2.94641366473108,1.80582748310635,7.07344343015163,1.60963283979686,0.597618519417086,0.542709772288724,0.11702222687602,0.170700222826282,-1676.7950719941
"2",2,3.64203246940575,1.62849201526138,7.12213029137762,2.60364984583601,0.43803429959848,0.430576006008376,0.0428215756354045,0.140494661281001,-1668.76929522884
"3",3,2.99259190212852,1.30007280892812,5.14592251368559,1.53972033178302,0.880886310315128,0.635289563062625,0.0239649313024616,0.0877193114516054,-1660.05310084013
"4",4,2.62032329690562,1.6797792141269,4.77565225817118,1.41024128909804,0.530382679398504,0.503517615952056,0.0181774441732059,0.0498474124766084,-1652.23018515925
"5",5,3.58475144458062,1.8040978784084,5.12002745902899,1.65832029331028,0.476592864953897,0.542268327762877,0.0402038910665859,0.0304510080100162,-1648.28853897596
"6",6,7.6505007190812,0.555118978130303,5.25793995534694,0.501535540985421,0.5180556353387,0.511672920918102,0.0203067529855763,0.0304544033560221,-1655.15695670522
"7",7,7.71368337558288,1.12279057185324,5.58061905568585,1.71299748947652,0.380075031389256,0.517899136845287,0.0302158188979316,0.0133104798033367,-1652.6529547033
"8",8,5.23190665530075,1.21867170358352,5.83952347417224,1.86982358770141,0.650738168759281,0.570252990989059,0.0391985317999785,0.0115639201781547,-1649.93135372045
"9",9,4.37032344242759,1.12642807421398,5.33854442043288,1.46171451681137,0.596953324208388,0.504337937849576,0.0462582571026684,0.00307637376215825,-1647.85192491153
"10",10,4.28752849754327,1.43850278541251,4.65309506470688,1.52019572126992,0.806947648824609,0.591507594997423,0.0348797083361799,0.00203103368907797,-1650.76512615961
"11",11,5.57761090883901,1.81587610259063,5.6368283112271,1.46901651937728,0.58325692605724,0.603301900688304,0.0280177998387467,0.00721612241182286,-1649.29475561063
"12",12,5.63345275684973,1.63706649321452,5.10544062466854,0.849128273773815,0.443924594871969,0.626427186865667,0.0233361738429913,0.0064838165858613,-1648.64530669882
"13",13,3.13749557622648,1.42021089217097,5.04409585628636,0.688010027813112,0.79107989954606,0.577976314220805,0.0228500915003042,0.00715418570995027,-1650.57390605457
"14",14,4.63636259499644,1.23181062644184,5.67261050111975,1.23985924444324,0.710663492638316,0.605011334620044,0.0266256280743239,0.00625944832339862,-1648.62860506777
"15",15,5.37772999431427,0.900313407414602,5.00260875106027,1.4565855502055,0.2919945273435,0.566572172704363,0.014330101966582,0.0149893061048064,-1652.889760633
"16",16,5.09565540984955,1.95424790878304,5.60530867098275,1.09282292926244,0.658805270737451,0.622663539683196,0.0594610942955701,0.015687117648726,-1650.63268999169
"17",17,3.96082298606413,1.37791724687709,4.79654277957254,1.66905777316163,0.43892048205411,0.514702074964543,0.0378614220295407,0.0128383750543575,-1648.0080542025
"18",18,4.23589302819048,2.17415245753331,5.14089084795784,2.3910651288848,0.420048367509058,0.481297357683898,0.0756635578998886,0.0172790723102119,-1651.974963802
"19",19,3.26418956362259,2.0315026904958,6.19306332049137,1.27463821005705,0.859488142049843,0.496237957982711,0.0870062470648731,0.0169205727026664,-1654.58346526755
"20",20,2.78725636327572,1.68070638054293,5.15041811987452,1.85530285607606,0.743641783661122,0.475791416240321,0.0439615012636495,0.00743338312701756,-1648.3376366989
"21",21,2.89591195904878,1.85058301085149,5.22113434745425,1.77088165699621,0.802492896019984,0.658395550505073,0.0280893483186511,0.0120694954594129,-1649.98356537433
"22",22,3.17772617907381,2.05898675687798,4.47729523124887,0.933118282019577,0.421282503906117,0.50021249451055,0.0295429242056677,0.0118034215753793,-1651.2616853634
"23",23,4.2245005428344,1.90743427259611,5.3530661990098,1.8605267732286,0.445278610916572,0.544174602484331,0.0250973724706015,0.00977396442634393,-1647.80052356
"24",24,3.50578494108235,1.9752476594608,5.18997569193521,1.412485307069,0.522524370183473,0.658055601656643,0.0312413552806155,0.00874200374170513,-1646.89558965965
