"","i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","p"
"1",1,24.7929350938648,23.2556343311444,12.9084834067425,8.28203755390726,0.0978928476444288,0.374187468279588,0.057334446271061,0.0973611143380579,-1764.9954605624
"2",2,24.7197898692318,19.2273016898762,13.253568829962,2.98832791516705,0.163804854157399,0.422694321926305,0.0124304886518691,0.0549619244451401,-1751.07918437235
"3",3,24.5985728518686,11.3957057411522,7.50387712606652,2.46935906858885,0.0910296823476478,0.416561125314837,0.0380456101753063,0.0606272986497772,-1727.50078887547
"4",4,20.365340455192,9.41615734953609,8.57934901901078,2.32411975219674,0.541470727497886,0.344985334375111,0.0163137627569191,0.0103997666602077,-1714.73240432405
"5",5,14.2983098614565,7.27651377584232,9.02506275334979,1.86712908332019,0.237470977015157,0.494563291889117,0.0579252969915086,0.0169482930671918,-1698.88478130439
"6",6,1.52432778445763,4.32441440252701,6.58436209598746,2.42567523791843,0.924976607237373,0.483068160606112,0.0341720655639097,0.0017743961370868,-1677.69925587223
"7",7,1.26591849396686,2.96660009369855,7.39450851313329,4.57882086359288,0.588097064124967,0.495120220683829,0.0368256426801448,0.00995288838412242,-1666.37792643366
"8",8,2.5935526619124,2.36214444785672,7.35649686360686,3.9164768297816,0.673558592920934,0.336359198192728,0.0746329261313162,0.00312772783082807,-1660.62028940666
"9",9,4.00439833413004,1.08595495277953,9.22118173712831,3.63863528173241,0.515425504443159,0.37185710889153,0.0389124544075479,0.00399651154468154,-1656.61250957126
"10",10,4.94246108467566,1.04530796508328,8.72088194611679,2.90598945679202,0.525882592066398,0.287099317664303,0.0488822672312452,0.00524135047060731,-1657.59326931105
"11",11,4.86610119667428,1.06628975753064,8.79267642211084,3.20969402108901,0.458989191146542,0.446150483284206,0.0533409216851545,0.00463474906835278,-1657.18515157368
"12",12,4.90757785790228,1.44413869575281,8.24373127068093,3.25968879390296,0.52913460234612,0.410843397641692,0.0434983004889125,0.0124758191575453,-1656.94096431619
